Index|Afrikaans|Albanais|Allemand|Anglais|Arabe|Azéri|Basque|Biélorusse|Bosniaque|Bulgare|Catalan|Cebuano|Chichewa|Corse|Créole haïtien|Croate|Danois|Espagnol|Espéranto|Estonien|Finnois|Français|Frison|Gaélique (Écosse)|Galicien|Gallois|Grec|Haoussa|Hawaïen|Hmong|Hongrois|Igbo|Indonésien|Irlandais|Islandais|Italien|Javanais|Kazakh|Kinyarwanda|Kirghiz|Kurde|Latin|Letton|Lituanien|Luxembourgeois|Macédonien|Malaisien|Malgache|Maltais|Maori|Mongol|Néerlandais|Norvégien|Ouïgour|Ouzbek|Pachtô|Persan|Philippin|Polonais|Portugais|Roumain|Russe|Samoan|Serbe|Sesotho|Shona|Sindhî|Slovaque|Slovène|Somali|Soundanais|Suédois|Swahili|Tadjik|Tatar|Tchèque|Turc|Turkmène|Ukrainien|Urdu|Vietnamien|Xhosa|Yorouba|Zoulou
tongue|tong|gjuhë|Zunge|tongue|لسان|dil|mihia|мова|jezik|език|llengua|dila|lilime|lingua|lang|jezik|tunge|lengua|lango|keel|kieli|langue|tonge|teanga|lingua|tafod|γλώσσα|harshe|alelo|tus nplaig|nyelv|ire|lidah|teanga|tungu|lingua|ilat|тіл|ururimi|тил|ziman|lingua|mēle|liežuvis|Zong|јазик|lidah|fiteny|ilsien|arero|хэл|tong|tunge|تىل|til|ژبه|زبان|dila|język|língua|limbă|язык|laulaufaiva|језик|leleme|rurimi|زبان|jazyk|jezik|carrabka|létah|tunga|ulimi|забон|тел|jazyk|dil|dil|язик|زبان|cái lưỡi|ulwimi|ahọn|ulimi
fingernail|vingernael|gozhdë|Fingernagel|fingernail|ظفر|dırnaq|azazkala|пазногаць|nokat|нокът|ungla|kuko|chikhadabo|unghia|zong|nokat|fingernegl|uña|ungo|sõrmeküüs|kynsi|ongle de main|fingernail|meur-dhealbh|uña|llun bys|νύχι|farce|kui manamana|rau tes|köröm|mbo aka|kuku jari|méarloirg|fingurnögli|unghia|kuku driji|тырнақ|urutoki|тырмак|nenûk|Unguiculi|nagu|nagą|Fangerneel|ноктот на прстот|kuku jari|rantsana ny|dwiefer|matimati|хумс|vingernagel|fingernegl|تىرناق|tirnoq|د ګوتو نوکان|ناخن انگشت|kuko|paznokieć|unha da mão|unghie|ноготь|atigilima|нокат|lenala|nzwara|نهن|necht|noht|ciddiyaha|kuku jari|nagel|kucha|нохун|тырнак|nehet|tırnak|dyrnak|ніготь|ناخن|móng tay|Uzipho|eekanna|uzipho
foot|voet|këmbë|Fuß|foot|قدم|ayaq|oina|ступня|stopalo|крак|peu|tiil|phazi|pede|pye|noga|fod|pie|piedo|jalg|jalka|le pied|foet|chas|pé|troed|πόδι|ƙafa|wāwae|ko taw|láb|ụkwụ|kaki|chos|fótur|piede|sikil|аяқ|ikirenge|бут|ling|pes|kāju|pėda|Fouss|нога|kaki|tongotra|sieq|waewae|хөл|voet|fot|foot|oyoq|پښه|پا|paa|stopa|pé|picior|стопа|vae|нога|leoto|tsoka|پير|noha|stopala|cag|suku|fot|mguu|пой|аяк|chodidlo|ayak|aýak|стопа|پاؤں|chân|unyawo|ẹsẹ|unyawo
leg|been|këmbë|Bein|leg|ساق|ayaq|hanka|нага|noga|крак|cama|paa|mwendo|ghjamba|janm|noga|ben|pierna|kruro|jalg|jalka|jambe|skonk|chas|perna|coes|πόδι|kafa|wāwae|ceg|láb|ụkwụ|kaki|cos|fótur|gamba|sikile|аяғы|ukuguru|бут|çîp|crus|kāja|koja|Been|нога|kaki|tongotra|sieq|waewae|хөл|been|bein|leg|oyoq|پښه|پا|paa|noga|perna|picior|нога|vae|нога|leoto|gumbo|ٽنگ|noha|noga|lugta|suku|ben|mguu|пой|аягы|noha|bacak|aýak|нога|ٹانگ|Chân|umlenze|ẹsẹ|umlenze
knee|knie|gju|Knie|knee|ركبة|diz|belauna|калена|koljeno|коляно|genoll|tuhod|bondo|ghjinochju|jenou|koljeno|knæ|rodilla|genuo|põlv|polvi|le genou|knibbel|glùin|xeonllo|pen-glin|γόνατο|gwiwa|kuli|lub hauv caug|térd|ikpere|lutut|glúin|hné|ginocchio|dhengkul|тізе|ivi|тизе|çog|genu|ceļgals|kelio|Knéi|колено|lutut|lohalika|irkoppa|turi|өвдөг|knie|kne|تىز|tizza|زنګون|زانو|tuhod|kolano|joelho|genunchi|колено|tulivae|колено|lengole|ibvi|گھڙو|koleno|koleno|jilibka|tuur|knä|goti|зону|тез|koleno|diz|dyz|коліно|گھٹنے|đầu gối|idolo|orokun|idolo
hand|hand|dorë|Hand|hand|يسلم|əl|eskua|рука|ruku|ръка|mà|kamot|dzanja|manu|men|ruka|hånd|mano|mano|käsi|käsi|main|hân|làmh|man|llaw|χέρι|hannu|lima|tes|kéz|aka|tangan|lámh|hönd|mano|tangan|қол|ukuboko|кол|dest|manibus|roka|ranka|Hand|рака|tangan|TANAN'ILAY|id|ringa|гар|hand-|hånd|hand|qo'l|لاس|دست|kamay|dłoń|mão|mână|рука|lima|руку|letsoho|ruoko|هٿ|ruka|roka|gacanta|panangan|hand|mkono|даст|кул|ruka|el|eli|рука|ہاتھ|tay|isandla|ọwọ|isandla
wing|vleuel|krahu|Flügel|wing|جناح|qanad|hegal|крыла|krilo|крило|ala|pako|phiko|ala|zèl|krilo|vinge|ala|flugilo|tiib|siipi|aile|wjuk|sgiath|á|asgell|πτέρυγα|reshe|ʻēheu|koojtis|szárny|nku|sayap|sciathán|væng|ala|swiwi|қанат|ibaba|канат|bask|cornu,|spārns|sparnas|Fligel|крило|sayap|elatra|ġwienaħ|parirau|далавч|vleugel|vinge|قانىتى|qanot|وزر|بال|pakpak|skrzydło|ASA|aripă|крыло|apaʻau|крило|lepheo|bapiro|ونگ|krídlo|krilo|baal|jangjang|vinge|mrengo|бол|канат|křídlo|kanat|ganaty|крило|بازو|canh|iphiko|iyẹ|iphiko
belly|maag|barku|Bauch|belly|بطن|qarın|sabela|жывот|trbuh|корем|panxa|tiyan|mimba|panza|vant|trbuh|bug|barriga|ventro|kõht|vatsa|ventre|liif|bolg|barriga|bol|κοιλιά|ciki|ʻōpū|plab|has|afọ|perut|bolg|maga|pancia|weteng|іш|inda|курсак|zik|ventri|vēders|pilvas|Bauch|стомакот|perut|kibo|żaqq|puku|гэдэс|buik|mage|قورساق|qorin|بیلی|شکم|tiyan|brzuszek|barriga|burtă|живот|manava|трбух|mpa|dumbu|پيٽَ|brucho|trebuh|caloosha|beuteung|mage|tumbo|шикам|карын|břicho|karın|garyn|живіт|پیٹ|bụng|isisu|ikun|isisu
guts|ingewande|zorrët|Eingeweide|guts|أحشاء|bağırsaq|erraiak|кішкі|crijeva|червата|budells|guts|matumbo|tripa|kouraz|crijeva|tarme|vísceras|kuraĝo|sisikond|suolet|entrailles|lef|guinean|tripas|perfedd|εντόσθια|hanji|ʻōpū|lub siab tawv|belek|ifuru|keberanian|gutaí|þörmum|budella|guts|ішек|guts|ичеги|gurî|ventrem|iekšas|viduriai|Nerv|цревата|usus|tsinay|imsaren|puku|гэдэс|lef|tarmene|ئۈچەي|ichaklar|جرtsت کوي|دل و روده|lakas ng loob|wnętrzności|culhões|tupeu|кишки|manava|црева|mala|ura|همٿ|vnútornosti|črevesje|caloosha|nyali|tarmar|matumbo|рӯда|эчәк|vnitřnosti|cesaret|içege|кишки|ہمت|ruột|isibindi|ikun|isibindi
neck|nek|qafë|Hals|neck|رقبه|boyun|lepoa|шыя|vrat|врата|coll|liog|khosi|collu|kou|vrat|nakke|cuello|kolo|kael|kaula|cou|nekke|amhach|pescozo|gwddf|λαιμός|wuya|ʻāʻī|caj dab|nyak|olu|leher|muineál|háls|collo|gulu|мойын|ijosi|моюн|hûstû|collum|kakls|kaklas|Hals|вратот|leher|vozony|għonq|kakī|хүзүү|nek|nakke|بويۇن|bo'yin|غاړه|گردن|leeg|szyja|pescoço|gât|шея|ua|врат|molala|mutsipa|ڳچي|krk|vratu|luqunta|beuheung|nacke|shingo|гардан|муен|krk|boyun|boýn|шиї|گردن|cái cổ|intamo|ọrun|intamo
back|terug|mbrapa|zurück|back|عودة|geri|atzera|назад|nazad|обратно|esquena|balik|kubwerera|daretu|tounen|leđa|tilbage|espalda|reen|tagasi|takaisin|dos|rêch|air ais|atrás|yn ôl|πίσω|baya|kua|rov qab|vissza|azu|kembali|ar ais|aftur|indietro|bali|артқа|inyuma|артка|paş|rursus|atpakaļ|atgal|zréck|назад|belakang|indray|lura|tuara|буцаж|terug|tilbake|back|orqaga|شاته|بازگشت|bumalik|z powrotem|voltar|înapoi|назад|tua|назад|morao|kumashure|پوئتي|späť|nazaj|gadaal|balik deui|tillbaka|nyuma|бозгашт|кире|zadní|geri|Yza|назад|پیچھے|trở lại|umva|pada|emuva
breast|bors|gjirit|Brust|breast|صدر|döş|bularra|грудзі|dojke|гърдата|pit|dughan|bere|pettu|tete|grudi|bryst|seno|brusto|rind|rinta|Sein|boarst|broilleach|peito|fron|στήθος|nono|umauma|lub mis|mell|ara|payudara|chíche|brjóst|Seno|dhadha|кеуде|ibere|төш|pêsîr|pectus|krūts|krūtinė|Broscht|гради|payudara|nono|sider|uma|хөх|borst|bryst|كۆكرەك|ko'krak|سينه|پستان|dibdib|pierś|seios|sân|грудь|fatafata|дојке|letsoele|zamu|سيني|prsník|dojke|naaska|payu|bröst|Titi|сина|күкрәк|prsa|meme|döş|грудей|چھاتی|nhũ hoa|isifuba|igbaya|isifuba
heart|hart|zemra|Herz|heart|قلب|ürək|bihotza|сэрца|srce|сърце|cor|kasingkasing|mtima|core|kè|srce|hjerte|corazón|koro|süda|sydän|cœur|hert|cridhe|corazón|galon|καρδιά|zuciya|Puʻuwai|plawv|szív|obi|jantung|chroí|hjarta|cuore|ati|жүрек|umutima|жүрөк|dil|cor meum|sirds|širdis|Häerz|срце|hati|am-po|qalb|ngakau|зүрх сэтгэл|hart-|hjerte|يۈرەك|yurak|هرات|قلب|puso|serce|coração|inima|сердце|fatu|срце|pelo|mwoyo|دل|Srdce|srce|wadnaha|haté|hjärta|moyo|дил|йөрәк|srdce|kalp|ýürek|серце|دل|tim|Intliziyo|okan|inhliziyo
liver|lewer|mëlçisë|Leber|liver|الكبد|qaraciyər|gibela|печань|jetra|черен дроб|fetge|atay|chiwindi|fegatu|fwa|jetra|lever|hígado|hepato|maks|maksa|foie|lever|grùthan|fígado|Iau|συκώτι|hanta|ake|mob siab|máj|umeji|hati|ae|lifur|fegato|ati|бауыр|umwijima|боор|ceger|iecur|aknas|kepenys|Liewer|црн дроб|hati|aty|fwied|ate|элэг|lever|lever|جىگەر|jigar|ځيګر|کبد|atay|wątroba|fígado|ficat|печень|ate|јетра|sebete|chiropa|جگر|pečeň|jetra|beerka|ati|lever|ini|ҷигар|бавыр|játra|karaciğer|bagyr|печінка|جگر|Gan|isibindi|ẹdọ|isibindi
to drink|om te drink|për të pirë|trinken|to drink|ليشرب|içmək|edateko|піць|piti|да пия|beure|Moinom|kumwa|beie|bwè|piti|at drikke|beber|trinki|jooma|juoda|boire|drinke|ri òl|beber|i yfed|για να πιω|a sha|inu|mus haus|inni|ị drinkụ mmanya|untuk minum|ól|að drekka|bere|kanggo ngombe|ішу|kunywa|ичүү|vexwarin|bibere|dzert|gerti|drénken|да пие|untuk minum|misotro|tixrob|inu|уух|drinken|å drikke|ئىچىش|ichmoq|څښل|نوشیدن|uminom|pić|para beber|a bea|пить|e inu ai|пити|ho noa|Kumwa|پيئڻ|piť|piti|cabid|nginum|att dricka|kunywa|нӯшидан|эчәргә|pít|içmek|içmek|пити|پینے کے لئے|uống|ukusela|lati mu|ukuphuza
to eat|te eet|për të ngrënë|Essen|to eat|لتناول الطعام|yemək|jan|есці|jesti|да ям|menjar|mokaon|kudya|manghjà|manje|jesti|at spise|comer|manĝi|sööma|syödä|manger|ite|ri ithe|comer|bwyta|να φάω|su ci|e ʻai|mus noj|enni|iri nri|makan|Ith|að borða|mangiare|kanggo mangan|жеу|kurya|же|xwarin|manducare|ēst|valgyti|Iessen|да јаде|untuk makan|mihinana|biex tiekol|ki te kai|идэх|eten|å spise|يېيىش|yemoq|خوړل|خوردن|kumain|jeść|comer|a mânca|есть|e 'ai|јести|ho ja|kudya|کائڻ|jesť|jesti|in la cuno|dahar|att äta|kula|хӯрдан|ашарга|jíst|yemek için|iýmek|їсти|کھانے کو|ăn|Ukutya|lati je|ukudla
to bite|om te byt|të kafshoj|beißen|to bite|لكي يلدغ|dişləmək|hozka egin|ўкусіць|ugristi|да хапят|a mossegar|mopaak|kuluma|muzzicà|mòde|ugristi|at bide|morder|mordi|hammustada|purra|mordre|bite|a bhìdeadh|morder|brathu|να δαγκώσει|su ciji|nahu|mus tom|harapni|ịta aru|menggigit|a bite|að bíta|mordere|kanggo cokotan|тістеу|kuruma|тиштөө|birîn kirin|mordere|iekost|įkąsti|bäissen|да гризат|menggigit|manaikitra|gidma|ngau|хазах|bijten|å bite|چىشلەش|tishlamoq|چيچل|گاز زدن|kumagat|ugryźć|morder|a musca|кусать|e u|гристи|ho loma|kuruma|ٻوڏڻ|uhryznúť|ugrizniti|inuu qaniino|ngigel|att bita|kuuma|газидан|тешләргә|kousnout|ısırmak|dişlemek|вкусити|کاٹنا|cắn|ukuluma|lati buje|ukuluma
to suck|om te suig|për të thithur|saugen|to suck|لتمتص|əmmək|zurrupatu|смактаць|sisati|да суче|xuclar|sa pagsuso|kuyamwa|suchjà|souse|sisati|at suge|chupar|suĉi|imeda|imeä|sucer|sûgje|suil|mamar|i sugno|να πιπιλίζουν|a tsotse|omo|mus nqus|szopni|inu|mengisap|a tarraing|að sjúga|succhiare|kanggo nyedhot|сору|kwonka|соруу|şîrmij kirin|ut sugatis|sūkāt|čiulpti|saugen|да цица|untuk menghisap|mitsentsitra|biex terda|ki te ngote|хөхөх|zuigen|å suge|سۈمۈرۈش|emish|وهل|مکیدن|sipsipin|ssać|chupar|a suge|сосать|mitimiti|сисати|ho anya|kusveta|چوڻ|sať|sesati|nuugid|nguseup|att suga|kunyonya|макидан|сорарга|sát|emmek|emdirmek|смоктати|چوسنا|hút|ukuncancisa|lati muyan|ukuncela
to spit|te spoeg|të pështyj|spucken|to spit|أن يبصق|tüpürmək|tu egin|плюнуць|pljuvati|плюя|escopir|sa pagluwa|kulavulira|sputà|krache|pljunuti|at spytte|escupir|kraĉi|sülitama|sylkeä|cracher|spuie|gu smugaid|cuspir|i boeri|φτύνω|tofa|e kuha|nti|köpni|ịgbasapụ ọnụ|meludah|a spit|að spýta|sputare|kanggo ngidoni|түкіру|gucira amacandwe|түкүрүү|tif kirin|et exspuens|nospļauties|spjauti|späitzen|да плукаат|untuk meludah|mandrora|beżaq|ki te tuwha|нулимах|spugen|å spytte|تۈكۈرۈش|tupurmoq|ټوکې کول|تف کردن|dumura|pluć|cuspir|a scuipa|плевать|e feanu|пљунути|ho hlatsa|kupfira|ٿڪڻ|pľuť|pljuvati|tufid|nyiduh|att spotta|kutema mate|туф кардан|төкерергә|plivat|tükürmek|tüýkürmek|плювати|تھوکنے|nhổ|ukutshica|lati tutọ|ukukhafula
to vomit|om te braak|të vjella|sich übergeben|to vomit|كي يتقيأ|qusmaq|oka egin|ванітаваць|povratiti|да повърна|vomitar|sa pagsuka|kusanza|vomità|vomi|povraćati|at kaste op|vomitar|vomi|oksendama|oksentaa|vomir|spuie|gu cuir a-mach|vomitar|i chwydu|να κάνω έμμετο|yin amai|e luaʻi|kom ntuav|hányni|ịgbọpụ|memuntahkan|a urlacan|að æla|vomitare|kanggo mutah|құсу|kuruka|кусуу|vereşîn|et vomite:|vemt|vemti|erbäissen|да повраќа|untuk muntah|mandoa|tirremetti|ki te ruaki|бөөлжих|braken|å spy|قۇسۇش|qusmoq|اندامونه کول|بالا آوردن|sa pagsusuka|wymiotować|vomitar|să vomite|рвать|e puaʻi|да повраћа|ho hlatsa|kurutsa|الٽي ڪرڻ|zvracať|bruhati|matagid|pikeun utah|att spy|kutapika|қай кардан|кусарга|zvracet|kusmak|gusmak|рвати|قے کرنا|nôn mửa|ukugabha|lati eebi|ukuphalaza
to blow|te blaas|për të hedhur në|Blasen|to blow|لتفجير|əsmək|putz egin|падарваць|da eksplodira|да взриви|a bufar|sa paghuyop|kuwomba|soffia|soufle|puhati|at blæse|soplar|blovi|puhuma|puhaltaa|souffler|blaze|a shèideadh|soprar|i chwythu|φυσάω|don busawa|e puhi|tshuab|robbantani|ịfụ|untuk meniup|a shéideadh|að blása|soffiare|ngunekke|үрлеу|kuvuza|үйлөө|teqandin|ut succendam|pūst|pūsti|blosen|да свират|untuk meniup|mitsoka|daqqa|whakatangi|үлээх|blazen|å blåse|to blow|puflamoq|پوکول|دمیدن|pumutok|dmuchać|para explodir|a sufla|дуть|e feula|дувати|ho foka|kuridza|اٽڻ|fúkať|pihniti|in la afuufo|niup|att blåsa|kupiga|дамидан|шартлатырга|foukat|üflemek|üflemek|підірвати|اڑانے کے لئے|thổi|ukuvuthela|lati fẹ|ukushaya
to breathe|om asem te haal|për të marrë frymë|atmen|to breathe|ليتنفس|nəfəs almaq|arnasa hartu|дыхаць|disati|да диша|respirar|pagginhawa|kupuma|rispirà|respire|disati|at trække vejret|respirar|spiri|hingata|hengittää|respirer|sykhelje|gus anail a tharraing|respirar|i anadlu|να αναπνεύσει|numfashi|e hanu|ua pa|lélegezni|iku ume|bernapas|a breathe|að anda|respirare|ambegan|дем алу|guhumeka|дем алуу|nefes girtin|sed usque ad internicionem|elpot|kvėpuoti|ootmen|да дишат|untuk bernafas|miaina|biex tieħu n-nifs|ki te manawa|амьсгалах|ademen|å puste|نەپەس ئېلىش|nafas olish|تنفس کول|نفس کشیدن|upang huminga|oddychać|respirar|a respira|дышать|manava|дисати|ho phefumoloha|kufema|ساه کڻڻ|dýchať|dihati|si loo neefsado|ngambekan|att andas|kupumua|нафас кашидан|сулыш алырга|dýchat|nefes almak|dem almak|дихати|سانس لینا|thở|ukuphefumla|lati simi|ukuphefumula
to laugh|om te lag|për të qeshur|Lachen|to laugh|لتضحك|gülmək|barre egin|смяяцца|smijati se|да се смея|riure|Pagkatawa|kuseka|ride|ri|smijati se|at grine|reír|ridi|naerda|nauraa|rire|laitsje|a bhith a ’gàireachdainn|rir|i chwerthin|γελώ|ayi dariya|ʻakaʻaka|luag|nevetni|ịchị ọchị|tertawa|gáire|að hlæja|ridere|ngguyu|күлу|guseka|күлүү|kenîn|in risu|smieties|juoktis|laachen|се смее|untuk ketawa|mihomehy|tidħaq|ki te kata|инээх|lachen|å le|كۈلۈش|kulmoq|خندل|خندیدن|tumawa|śmiać się|rir|a rade|смеяться|e ata|смејати се|ho tsheha|kuseka|کلڻ|smiať sa|smejati se|qosol|seuri|att skratta|kucheka|хандидан|көлергә|smát se|kahkaha atmak|gülmek|сміятися|ہنسنا|cười|ukuhleka|lati rerin|ukuhleka
to see|om te sien|të shikosh|um zu sehen|to see|لترى|görmək|ikusi|убачыць|vidjeti|да видиш|veure|aron makita|kukawona|vede|wè|vidjeti|at se|para ver|vidi|et näha|nähdä|à voir|sjen|Gus fhaicinn|Ver|i weld|για να δω|a gani|e 'ike|mus saib|látni|iji hụ|untuk melihat|Féach|að sjá|da vedere|kanggo ndeleng|көру|kubona|көрүү үчүн|we helavê kur heye|videre|redzēt|matyti|gesinn|да се види|untuk melihat|mahita|biex tara|kite|харах|zien|å se|to see|ko'rish uchun|کتل|دیدن|upang makita|zobaczyć|ver|pentru a vedea|чтобы увидеть|e vaai|видети|ho bona|kuona|ڏسڻ|vidieť|videti|si loo arko|ningali|att se|kuona|дидан|күрү|vidět|Görmek|görmek|бачити|دیکھنا|nhìn|ukubona|lati ri|ukubona
to hear|te hoor|te degjosh|hören|to hear|لكى اسمع|eşitmək|entzun|чуць|čuti|да чуя|escoltar|sa pagpamati|kumva|à sente|tande|čuti|at høre|escuchar|aŭdi|kuulma|kuulla|entendre|hearre|a chluinntinn|oir|clywed|να ακούσω|don ji|Waimea|los mloog|hallani|ịnụ|mendengar|a chloisteáil|að heyra|ascoltare|kanggo ngrungokake|есту|kumva|Угуу|bihîstin|audire|dzirdēt|girdėti|héieren|да слушне|untuk mendengar|maheno|tisma|whakarongo|сонсох|horen|å høre|ئاڭلاش|eshitmoq|اوریدل|شنیدن|marinig|słyszeć|ouvir|a auzi|слышать|e faʻalogo ai|чути|ho utloa|kunzwa|ٻڌڻ|počuť|slišati|inaan maqlo|ngadangukeun|att höra|kusikia|шунидан|ишетергә|slyšet|duymak|eşitmek|чути|سننے کے لیے|nghe ngóng|ukuva|lati gbo|ukuzwa
to know|om te weet|të dish|wissen|to know|لتعرف|bilmək|jakin|ведаць|znati|да знам|saber|aron mahibal-an|kudziwa|sapè|Konnen|znati|at vide|saber|scii|teadma|tietää|à connaître|witte|fios a bhith agad|saber|i gwybod|να ξερω|sani|e `ike|paub|tudni|ịmara|untuk mengetahui|a fhios|að vita|sapere|ngerti|білу|kumenya|билүү|zanîn|scire|zināt|žinoti|wëssen|да знае|untuk tahu|mahalala|li tkun taf|mohio|мэдэх|weten|å vite|بىلىش|bilmoq|پوهېدل|دانستن|para malaman|wiedzieć|saber|a ști|знать|ia iloa|знати|ho tseba|kuziva|ڄاڻڻ|vedieť|vedeti|in la ogaado|terang|att veta|kujua|донистан|белергә|vědět|bilmek|bilmek|знати|جاننا|để biết|ukwazi|lati mọ|ukwazi
to think|om te dink|te mendosh|denken|to think|ليفكر|fikirləşmək|pentsatu|думаць|misliti|да мисля|pensar|sa paghunahuna|kuganiza|pensà|panse|misliti|at tænke|pensar|pensi|mõtlema|ajatella|penser|tinke|smaoineachadh|pensar|i feddwl|σκέφτομαι|yin tunani|manaʻo|los xav|gondolkozni|iche|untuk berpikir|smaoineamh|að hugsa|pensare|mikir|ойлау|gutekereza|ойлонуу|bifikirin|cogitare|domāt|galvoti|ze denken|да размислуваат|fikir|mieritreritra|biex taħseb|whakaaro|бодох|denken|å tenke|ئويلاش|o'ylash|فکر کول|فکر کردن|Magisip|myśleć|pensar|a gandi|думать|e mafaufau|мислити|ho nahana|kufunga|سوچڻ|myslieť|misliti|in laga fakaro|mikir|att tänka|kufikiria|фикр кардан|уйларга|myslet|düşünmek|oýlanmak, pikirlenmek|думати|سوچنا|Để nghĩ|ukucinga|lati ro|ukucabanga
to smell|te ruik|per te nuhatur|riechen|to smell|يشم|iyləmək|usaindu|панюхаць|mirisati|да помириша|olorar|sa pagpanimaho|kununkhiza|sente|pran sant|pomirišati|at lugte|oler|flari|lõhnama|haista|sentir|rûke|gus fàileadh|cheirar|i arogli|μυρίζω|wari|e honi|kom hnov ​​tsw|szagolni|na-esi isi|untuk mencium|a bholadh|að lykta|annusare|kanggo mambu|иіс сезу|kunuka|жыттануу|bêhn kirin|ut odor|smaržot|uostyti|richen|да мириса|untuk menghidu|manimbolo|biex ixxomm|ki te hongi|үнэрлэх|ruiken|å lukte|پۇراش|hidlamoq|بوی کول|بوییدن|amuyin|smierdziec|cheirar|a mirosi|нюхать|e sogisogi|мирисати|ho nkha|kunhuwidza|سونگھڻ|páchnuť|vohati|ur|ngambeu|att lukta|kunusa|бӯй кардан|ис|cítit|koklamak|ys almak|нюхати|سونگھنے کو|ngửi|ukunuka|lati olfato|ukuhogela
to fear|om te vrees|të kesh frikë|fürchten|to fear|للخوف|qorxmaq|beldurtzeko|баяцца|plašiti se|да се страхуваш|témer|sa kahadlok|kuopa|teme|gen krentif pou|bojati se|at frygte|temer|timi|kartma|pelätä|avoir peur|bang wêze|gu eagal|temer|i ofni|στο φόβο|don tsoro|makaʻu|kom ntshai|félni|itu egwu|takut|a eagla|að hræðast|temere|wedi|қорқу|gutinya|коркуу|ditirsin|timere|baidīties|bijoti|fäerten|да се плаши|untuk takut|matahotra|għall-biża '|ki te mataku|айх|te vrezen|å frykte|قورقۇش|qo'rqmoq|ویره کول|ترسیدن|sa takot|bać się|temer|să se teamă|бояться|i le fefe|плашити се|ho tshoha|kutya|ڊڻ|báť sa|bati|in laga baqo|sieun|att frukta|kuogopa|тарсидан|куркырга|bát se|korkmak|gorkmak|боятися|ڈرنا|sợ|ukoyika|lati bẹru|ukwesaba
to sleep|om te slaap|për të fjetur|schlafen|to sleep|للنوم|yatmaq|lo egin|спаць|spavati|спя|dormir|matulog|kugona|dorme|dòmi|spavati|at sove|dormir|dormi|magama|nukkua|dormir|sliepe|a chadal|durmir|i gysgu|να κοιμηθώ|barci|hiamoe|mus pw|aludni|ihi ụra|tidur|codladh|að sofa|dormire|turu|ұйықтау|gusinzira|уктоо|raketin|ad somnum|gulēt|miegoti|schlofen|да спие|untuk tidur|matory|torqod|ki te moe|унтах|slapen|å sove|ئۇخلاش|uxlamoq|ویده کیدل|خوابیدن|matulog|spać|dormir|a dormi|спать|moe|спавати|ho robala|kurara|سمهڻ لاءِ|spať|spati|in la seexdo|kulem|att sova|kulala|хобидан|йокларга|spát|uyumak|ýatmak|спати|نیند کو|ngủ|ukulala|lati sun|ukulala
to live|om te lewe|te jetosh|Leben|to live|ليعيش|yaşamaq|bizitzeko|жыць|živjeti|да живея|viure|mabuhi|kukhala ndi moyo|campà|viv|živjeti|at leve|vivir|vivi|elama|elää|vivre|libje|a bhith beò|vivir|i fyw|να ζεις|su rayu|e noho|los nyob|élni|ibi|untuk hidup|chun cónaí|að lifa|vivere|kanggo urip|өмір сүру|kubaho|жашоо|jiyîn|vivere|dzīvot|gyventi|liewen|живее|untuk hidup|miaina|biex tgħix|ki te ora|амьдрах|leven|å leve|ياشاش|yashamoq|اوسیدل|برای زندگی|para mabuhay|żyć|viver|a trai|жить|e ola|живети|ho phela|kurarama|زنده رهڻ|žiť|živeti|inuu ku noolaado|hirup|att leva|kuishi|зиндагӣ кардан|яшәргә|žít|yaşamak|ýaşamak|жити|جینا|sống|ukuphila|lati gbe|ukuphila
to die|Om dood te gaan|te vdesesh|sterben|to die|حتى الموت|ölmək|hil|памерці|umrijeti|да умра|morir|mamatay|kufa|more|mouri|umrijeti|at dø|morir|morti|surema|kuolla|mourir|dea gean|gu bàs|morrer|i farw|πεθαίνω|ya mutu|make|kom tuag|meghalni|ịnwụ|untuk mati|bás a fháil|að deyja|morire|mati|өлу|gupfa|өлүү|mirin|mori|nomirt|mirti|stierwen|да умре|untuk mati|maty|tmut|ki te mate|үхэх|sterven|å dø|to die|o'lmoq|مړ کول|برای مردن|mamatay|umrzeć|morrer|a muri|умереть|oti|да умре|ho shoa|kufa|مرڻ|zomrieť|umreti|inuu dhinto|maot|att dö|kufa|мурдан|үләргә|zemřít|ölmek|ölmek|вмирати|مرنا|chết|ukufa|lati ku|ukufa
to kill|om dood te maak|për të vrarë|töten|to kill|ليقتل|öldürmək|hiltzea|забіваць|ubiti|да убия|matar|sa pagpatay|kupha|tumbà|yo touye|ubiti|at dræbe|matar|mortigi|tapma|tappaa|tuer|dea meitsje|a mharbhadh|matar|i lladd|να σκοτώσεις|kashe|pepehi kanaka|mus tua|ölni|igbu|untuk membunuh|a mharú|að drepa|uccidere|kanggo mateni|өлтіру|kwica|өлтүрүү|kuştin|necare|nogalināt|Nužudyti|ëmbréngen|да убие|untuk membunuh|mamono|toqtol|whakamate|алах|vermoorden|å drepe|to kill|o'ldirmoq|وژل|کشتن|pumatay|zabić|matar|a ucide|убить|e fasioti|да убије|ho bolaea|kuuraya|مارڻ|zabiť|ubiti|in la dilo|maehan|att döda|kuua|куштан|үтерергә|zabít|öldürmek|oldurmek|вбивати|مارنے کے لئے|giết|ukubulala|lati pa|ukubulala
